,greedy,classic
14661,42786.75890024679,42161.81476744264
14662,46848.6562765444,45719.15653882441
14663,49262.045200018394,47895.9639075323
14664,45628.76086057392,44748.395730500226
14665,41848.2145664506,41425.924963219484
14666,42269.45238578571,41771.406381646935
14667,50773.946608532555,49256.89469445451
14668,44483.11482781077,43841.7436649699
14669,41824.60838198435,41453.31029154739
14670,40811.87333903696,40589.953197919574
14671,39567.139745038214,39484.98771813247
14672,36840.6136647466,37042.64482367938
14673,36659.56246591809,36873.65835415261
14674,37244.572724804704,37401.95599019118
14675,37310.37067859445,37459.87601850738
14676,40795.2885071134,40649.32625321418
14677,38817.76246330415,38942.81375255333
14678,40691.37122119722,40693.23405777651
14679,42747.06689277212,42531.644865140974
14680,44839.46730808137,44465.048368476884
14681,47041.8761542173,46367.13907291041
14682,48853.61564146124,48104.11742793069
14683,50834.60960282961,49761.420058676
14684,52664.13471629867,51222.19136169011
14685,54181.3992863286,52664.673782817394
14686,55538.185871109934,54105.33088800689
14687,57011.423859917675,55296.98942541835
14688,58012.81080322006,56055.268150697564
14689,59148.219885359715,56527.24263666126
14690,60448.5147290722,57243.953182387646
14691,61371.13428895397,57778.028431854385
14692,62049.024156962136,57650.528684793346
14693,62363.92012749512,57838.10004116516
14694,62781.82339988773,58161.39671449255
14695,63014.751296236034,58442.5101203022
14696,62859.81435786414,58506.52504286756
14697,62463.890881140214,58449.20455231409
14698,61958.00679125474,58085.65877641417
14699,61260.557093328134,57050.61701188148
14700,60057.248054857315,56341.514420246785
14701,58352.32277176356,55250.7190670018
14702,57228.11071607578,54411.59874389287
14703,55834.37523494531,53622.06420074095
14704,54135.88125119424,52011.352133871536
14705,52216.8741816261,50786.332496246265
14706,50863.6759518255,49547.28741052313
14707,49706.30092342484,48625.36835962326
14708,48921.1902273537,47914.387950525575
14709,48631.47863486276,47811.20125097768
14710,35837.98747360916,36148.350112108936
14711,36318.90864029037,36603.77024836388
14712,37586.156585390745,37763.39542403323
14713,40412.32632363327,40374.43065256862
14714,41027.363269894646,40891.00211939364
14715,41711.00175135601,41533.82385399758
14716,41719.57782470755,41519.7679578076
14717,50807.750782663024,49646.28060125193
14718,51669.252929711,50508.22708187384
14719,51808.57253998173,50753.01543383352
14720,50475.7683368865,49441.7176473673
14721,51656.551604751556,50419.95554478929
14722,51411.33006309511,49921.85493061087
14723,55166.25132783958,52940.3070977901
14724,54227.97881181418,51961.135736280514
14725,57060.58278386708,54269.4221566239
14726,58501.88875130343,55493.112291419726
14727,60333.522828870984,57147.606890609764
14728,63162.81184430635,59548.28759930353
14729,63463.05631230521,59932.7130865936
